at,score,content
2022-05-12 13:08:11,5,Rates could be better. More loads in and out of Tn.
2022-05-11 23:46:00,5,Pretty fast book a load with one click
2022-05-11 20:39:22,5,Good dadicated lane
2022-05-11 18:13:27,4,Its good
2022-05-09 12:15:14,1,"Their bidding process is stupid. You can't bid automatically through the app on all the loads, and when you call to bid their reps give you lip about your offer. Also they never have a manager to speak to. One rep told me they have no manager and they can do whatever the hell they want. DON'T HAUL ANY FREIGHT FOR THESE AHOLES. UBER FREIGHT IS NOTHING MORE THAN A PREDATORY BROKER WITH USELESS REPS THAT CAN ONLY TAKE NOTES"
2022-04-28 23:26:58,5,Easiest app to me to navigate
2022-04-27 01:18:12,1,Trash all together hire folks that's can make decisions and fix issues and stop THIS GARBAGE AUTOMATED TRASH
2022-04-25 20:10:24,1,"Uber tries to be nice, but they are not honest to the reviews on facilities and giving the exact name of the comapny from time to time, especially if the company has a bad reputation and they know you wont get the load and they will cheat you. 2nd, their costumer service is horrible....even though they pay pennies to Indian workers overseas....."
2022-04-23 01:12:11,2,It has been over a month to get my payment for a delivery waiting for a manager to approve it. And no answer yet. Even though everything is good to go paper wise. Be prepared to deal with stuff like this. On the regular basis. When u call to get things resolved it will take time. Update * after sending my load number to the email . The situation got resolved the next day. Thank you for the fast help
2022-04-22 13:33:29,5,The best application
2022-04-22 05:39:02,1,"Cheap rate.. horrible experience with customer service when you have an issue within a load. And keep you on the load for a long period till the issue is resolved.. no communication, have to keep calling to resolved any issue but they call you constantly to find where you are when they can track you on the app. To many issues to describe. To me personally not worth it."
2022-04-21 22:45:04,5,Great
2022-04-17 11:43:57,2,uber used be a good app to find loads now the rates are terrible and they drop longer the load is up which makes no sense
2022-04-16 02:21:43,1,"Stop calling so much, it's unnecessary, that's why the location app is on the phone... Unless the driver reports a issue then there's no need to call him... And get some people in there that can speak good English..."
2022-04-15 04:48:49,5,Just keep getting better with each update
2022-04-14 23:33:31,5,How do I get this installed on my PC?
2022-04-07 19:42:59,1,Your app is bad it keeps trying to make me a separate carrier other than the company I work for I can't get in it can't get help can't get my load information it sucks
2022-04-07 13:27:12,2,"Flash does not work, camera is off center and appears zoomed in while taking the photo."
2022-04-06 20:38:15,1,Where's the freight. Only a couple of load's show..
